记录时间：2018-10-16 15:04:32,758 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:22:16,144 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:23:01,983 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:23:02,660 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:23:02,661 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:23:02,663 详细信息：开始执行开票回传
记录时间：2018-10-16 15:24:22,006 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:24:22,910 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:24:22,913 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:24:22,914 详细信息：开始执行开票回传
记录时间：2018-10-16 15:24:28,386 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:24:28,386 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:25:40,090 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:25:41,244 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:25:41,246 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:25:41,247 详细信息：开始执行开票回传
记录时间：2018-10-16 15:25:58,300 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:25:58,912 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:25:58,913 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:25:58,914 详细信息：开始执行开票回传
记录时间：2018-10-16 15:26:10,392 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:26:10,393 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 15:26:18,100 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 15:26:18,627 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 15:26:18,628 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 15:26:18,630 详细信息：开始执行开票回传
记录时间：2018-10-16 15:26:23,020 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 15:26:23,021 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 17:05:47,516 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 17:05:49,892 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 17:05:49,893 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 17:05:49,894 详细信息：开始执行开票回传
记录时间：2018-10-16 17:05:50,287 详细信息：文件INV_4020.TSV移动至F:\Success\INV_4020.TSV
记录时间：2018-10-16 17:05:50,342 详细信息：处理文件:【F:\INV_4020.TSV】成功
记录时间：2018-10-16 17:05:50,486 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 17:05:50,487 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 17:07:10,468 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 17:07:17,176 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 17:07:17,177 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 17:07:17,178 详细信息：开始执行开票回传
记录时间：2018-10-16 17:07:17,682 详细信息：文件INV_4020.TSV移动至F:\Success\INV_4020.TSV
记录时间：2018-10-16 17:07:17,683 详细信息：处理文件:【F:\INV_4020.TSV】成功
记录时间：2018-10-16 17:07:17,710 详细信息：文件INV_4040.TSV移动至F:\Faild\INV_4040.TSV
记录时间：2018-10-16 17:07:17,731 详细信息：F:\INV_4040.TSV为空文件
记录时间：2018-10-16 17:07:17,732 详细信息：文件INV_4040.TSV移动至F:\Success\INV_4040.TSV
记录时间：2018-10-16 17:07:17,778 详细信息：处理文件:【F:\INV_4040.TSV】失败,详细见错误日志
记录时间：2018-10-16 17:07:17,780 详细信息：文件INV_4040.TSV移动至F:\Faild\INV_4040.TSV
记录时间：2018-10-16 17:07:17,838 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 17:07:17,839 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 17:08:45,075 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 17:08:50,263 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 17:08:50,264 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 17:08:50,265 详细信息：开始执行开票回传
记录时间：2018-10-16 17:08:50,503 详细信息：文件INV_4020.TSV移动至F:\Success\INV_4020.TSV
记录时间：2018-10-16 17:08:50,504 详细信息：处理文件:【F:\INV_4020.TSV】成功
记录时间：2018-10-16 17:08:50,552 详细信息：文件INV_4040.TSV移动至F:\Faild\INV_4040.TSV
记录时间：2018-10-16 17:08:50,553 详细信息：F:\INV_4040.TSV为空文件
记录时间：2018-10-16 17:08:50,553 详细信息：文件INV_4040.TSV移动至F:\Success\INV_4040.TSV
记录时间：2018-10-16 17:08:50,582 详细信息：处理文件:【F:\INV_4040.TSV】失败,详细见错误日志
记录时间：2018-10-16 17:08:50,583 详细信息：文件INV_4040.TSV移动至F:\Faild\INV_4040.TSV
记录时间：2018-10-16 17:08:50,641 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 17:08:50,642 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-10-16 17:09:32,037 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-10-16 17:09:36,615 详细信息：获得手动触发启动参数：48
记录时间：2018-10-16 17:09:36,617 详细信息：**********执行【开票回传】数据传输开始**********
记录时间：2018-10-16 17:09:36,618 详细信息：开始执行开票回传
记录时间：2018-10-16 17:09:36,816 详细信息：文件INV_4020.TSV移动至F:\Success\INV_4020.TSV
记录时间：2018-10-16 17:09:36,817 详细信息：处理文件:【F:\INV_4020.TSV】成功
记录时间：2018-10-16 17:09:36,872 详细信息：文件INV_4040.TSV移动至F:\Faild\INV_4040.TSV
记录时间：2018-10-16 17:09:36,873 详细信息：执行开票回传完毕
记录时间：2018-10-16 17:09:36,874 详细信息：**********执行【开票回传】数据传输完毕**********
记录时间：2018-10-16 17:09:36,874 详细信息：--------------------------------程序结束--------------------------------

