记录时间：2018-11-01 11:04:13,216 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:12:21,066 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:15:56,602 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:15:57,319 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:15:57,322 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:15:57,325 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:15:57,975 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:15:58,104 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:15:58,105 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:15:58,106 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:25:11,648 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:25:12,545 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:25:12,547 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:25:12,549 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:25:13,242 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:25:13,358 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:25:13,358 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:25:13,359 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:25:18,470 详细信息：**********执行【售后业务-DSC_B】数据传输完毕**********
记录时间：2018-11-01 11:25:18,470 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-11-01 11:26:55,969 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:26:56,720 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:26:56,721 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:26:56,723 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:26:57,338 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:26:57,454 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:26:57,454 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:26:57,455 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:31:44,811 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PAYMENT_4011_20181101.TSV
记录时间：2018-11-01 11:31:44,845 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传成功
记录时间：2018-11-01 11:31:44,846 详细信息：**********执行【售后业务-DSC_B】数据传输完毕**********
记录时间：2018-11-01 11:31:44,846 详细信息：--------------------------------程序结束--------------------------------

记录时间：2018-11-01 11:51:12,172 详细信息：--------------------------------程序启动--------------------------------
记录时间：2018-11-01 11:51:13,263 详细信息：获得手动触发启动参数：42
记录时间：2018-11-01 11:51:13,265 详细信息：**********执行【售后业务-DSC_B】数据传输开始**********
记录时间：2018-11-01 11:51:13,267 详细信息：DSC_B执行开票申请数据凭证回传
记录时间：2018-11-01 11:51:14,038 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\SALES_4011_20181101.TSV
记录时间：2018-11-01 11:51:14,167 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PUR_4011_20181101.TSV
记录时间：2018-11-01 11:51:14,168 详细信息：DSC_B执行开票申请数据凭证回传成功
记录时间：2018-11-01 11:51:14,168 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传
记录时间：2018-11-01 11:51:14,313 详细信息：生成文件：F:\YZDocument\项目\大金\FlowPortal\doc\SAPLinks\SAPLinks\bin\Debug\PAYMENT_4011_20181101.TSV
记录时间：2018-11-01 11:51:14,314 详细信息：DSC_B执行付款通知书（有偿）数据凭证回传成功
记录时间：2018-11-01 11:51:14,314 详细信息：**********执行【售后业务-DSC_B】数据传输完毕**********
记录时间：2018-11-01 11:51:14,314 详细信息：--------------------------------程序结束--------------------------------

