记录时间：2019-03-06 10:16:58,321 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 10:17:59,644 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 10:24:18,752 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 10:24:20,707 详细信息：获得手动触发启动参数：59
记录时间：2019-03-06 10:24:20,713 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-06 10:24:20,720 详细信息：执行主数据同步
记录时间：2019-03-06 10:24:20,784 详细信息：执行EDI行主数据同步
记录时间：2019-03-06 10:24:20,805 详细信息：文件:Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-06 10:24:20,809 详细信息：文件:Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-06 10:24:20,841 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：4条
记录时间：2019-03-06 10:24:20,845 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条，详细见错误日志
记录时间：2019-03-06 10:24:20,850 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-06 10:24:20,854 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 10:24:42,031 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 10:24:46,031 详细信息：获得手动触发启动参数：60
记录时间：2019-03-06 10:24:46,037 详细信息：**********执行【DABAN数据同步回EDI】数据传输开始**********
记录时间：2019-03-06 10:24:46,054 详细信息：《DABANToEDI》数据装载
记录时间：2019-03-06 10:24:46,108 详细信息：《DABANToEDI》获取需处理数量：4条
记录时间：2019-03-06 10:24:46,163 详细信息：生成文件：F:\EDI\EDIToDABAN\Daban_invoice_20190306102446.CSV
记录时间：2019-03-06 10:24:46,167 详细信息：**********执行【DABAN数据同步回EDI】数据传输完毕**********
记录时间：2019-03-06 10:24:46,169 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 11:37:46,690 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 11:37:49,215 详细信息：获得手动触发启动参数：59
记录时间：2019-03-06 11:37:49,220 详细信息：**********执行【EDI数据同步回DABAN】数据传输开始**********
记录时间：2019-03-06 11:37:49,234 详细信息：执行主数据同步
记录时间：2019-03-06 11:37:49,319 详细信息：执行EDI行主数据同步
记录时间：2019-03-06 11:37:49,330 详细信息：文件:Delta_invoice_20190304130722 - 副本.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722 - 副本.csv
记录时间：2019-03-06 11:37:49,334 详细信息：文件:Delta_invoice_20190304130722.csv移动至F:\EDI\Queue\Delta_invoice_20190304130722.csv
记录时间：2019-03-06 11:37:49,668 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【成功数据】：4条
记录时间：2019-03-06 11:37:49,672 详细信息：SAPLinks.Bussiness.EDIDataToDABAN.EDI.MAIN_EDI_DATA(F:\EDI\)【错误数据过滤】：0条，详细见错误日志
记录时间：2019-03-06 11:37:49,676 详细信息：**********执行【EDI数据同步回DABAN】数据传输完毕**********
记录时间：2019-03-06 11:37:49,680 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 11:38:21,671 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 11:38:24,099 详细信息：获得手动触发启动参数：60
记录时间：2019-03-06 11:38:24,105 详细信息：**********执行【DABAN数据同步回EDI】数据传输开始**********
记录时间：2019-03-06 11:38:24,125 详细信息：《DABANToEDI》数据装载
记录时间：2019-03-06 11:38:24,194 详细信息：《DABANToEDI》获取需处理数量：4条
记录时间：2019-03-06 11:38:24,543 详细信息：**********执行【DABAN数据同步回EDI】数据传输完毕**********
记录时间：2019-03-06 11:38:24,556 详细信息：--------------------------------程序结束--------------------------------

记录时间：2019-03-06 11:40:29,732 详细信息：--------------------------------程序启动--------------------------------
记录时间：2019-03-06 11:40:33,512 详细信息：获得手动触发启动参数：60
记录时间：2019-03-06 11:40:33,519 详细信息：**********执行【DABAN数据同步回EDI】数据传输开始**********
记录时间：2019-03-06 11:40:33,534 详细信息：《DABANToEDI》数据装载
记录时间：2019-03-06 11:40:33,586 详细信息：《DABANToEDI》获取需处理数量：4条
记录时间：2019-03-06 11:40:33,647 详细信息：生成文件：F:\EDI\DABANToEDI\Daban_invoice_20190306114033.CSV
记录时间：2019-03-06 11:40:33,651 详细信息：**********执行【DABAN数据同步回EDI】数据传输完毕**********
记录时间：2019-03-06 11:40:33,653 详细信息：--------------------------------程序结束--------------------------------

